from,to,ref,value,quality,parameter_id,station_id,date
1702533601000.0,1702620000000.0,2023-12-14,0.1,G,5,82230,
1702620001000.0,1702706400000.0,2023-12-15,0.0,G,5,82230,
1702706401000.0,1702792800000.0,2023-12-16,0.0,G,5,82230,
1702792801000.0,1702879200000.0,2023-12-17,5.8,G,5,82230,
1702879201000.0,1702965600000.0,2023-12-18,3.8,G,5,82230,
1702965601000.0,1703052000000.0,2023-12-19,0.0,G,5,82230,
1703052001000.0,1703138400000.0,2023-12-20,0.0,G,5,82230,
1703138401000.0,1703224800000.0,2023-12-21,12.1,G,5,82230,
1703224801000.0,1703311200000.0,2023-12-22,0.0,G,5,82230,
1703311201000.0,1703397600000.0,2023-12-23,0.0,G,5,82230,
1703397601000.0,1703484000000.0,2023-12-24,7.7,G,5,82230,
1703484001000.0,1703570400000.0,2023-12-25,0.0,G,5,82230,
1703570401000.0,1703656800000.0,2023-12-26,0.0,G,5,82230,
1703656801000.0,1703743200000.0,2023-12-27,7.4,G,5,82230,
1703743201000.0,1703829600000.0,2023-12-28,7.2,G,5,82230,
1703829601000.0,1703916000000.0,2023-12-29,3.7,G,5,82230,
1703916001000.0,1704002400000.0,2023-12-30,0.1,G,5,82230,
1704002401000.0,1704088800000.0,2023-12-31,4.4,G,5,82230,
1704088801000.0,1704175200000.0,2024-01-01,1.3,G,5,82230,
1704175201000.0,1704261600000.0,2024-01-02,0.4,G,5,82230,
1704261601000.0,1704348000000.0,2024-01-03,0.4,G,5,82230,
1704348001000.0,1704434400000.0,2024-01-04,1.1,G,5,82230,
1704434401000.0,1704520800000.0,2024-01-05,0.5,G,5,82230,
1704520801000.0,1704607200000.0,2024-01-06,0.0,G,5,82230,
1704607201000.0,1704693600000.0,2024-01-07,0.0,G,5,82230,
1704693601000.0,1704780000000.0,2024-01-08,0.0,G,5,82230,
1704780001000.0,1704866400000.0,2024-01-09,0.0,G,5,82230,
1704866401000.0,1704952800000.0,2024-01-10,0.0,G,5,82230,
1704952801000.0,1705039200000.0,2024-01-11,0.0,G,5,82230,
1705039201000.0,1705125600000.0,2024-01-12,0.0,G,5,82230,
1705125601000.0,1705212000000.0,2024-01-13,0.8,G,5,82230,
1705212001000.0,1705298400000.0,2024-01-14,9.8,G,5,82230,
