station_id,name,longitude,latitude,height
97440,Knivsta,17.8078,59.7243,20.0
53570,Knopparp D,13.8466,55.9297,167.596
99650,Koholma,19.0666,59.7333,10.0
160850,Koler D,20.464,65.5028,288.174
95360,Kolsva D,15.9119,59.5875,45.744
82040,Komperöd,12.0085,58.0592,108.121
66170,Komstorp,16.0197,56.2774,10.0
65300,Konga,15.1227,56.4918,125.0
95520,Kopparberg D,15.0448,59.8593,128.675
86710,Koppartorp,16.9,58.6333,30.0
92420,Koppom D,12.151,59.7037,150.0
173950,Korpilombolo,23.0666,66.85,165.0
75180,Korsberga,15.2422,57.3101,187.192
106390,Korså,16.1451,60.638,185.0
170840,Koskats,20.2558,66.5074,230.0
92120,Krakstad,12.4812,59.1492,138.0
92110,Krakstad,12.4833,59.1767,240.0
127560,Kramfors,17.7615,62.9291,45.601
102240,Kristinefors,12.943,60.3586,135.0
84070,Krogstorp,14.0707,58.1058,310.0
76230,Krokshult D,16.0933,57.3834,127.157
124710,Krokströmmen,14.9,62.05,340.0
64570,Kronobergshed,14.575,56.9769,180.0
76280,Kråkemåla,16.6478,57.4605,13.63
138320,Kubbe,18.0691,63.5173,120.0
94620,Kullatorp,14.797,59.5164,250.0
95070,Kumla,15.1535,59.1248,50.0
190970,Kummavuopio,20.867,68.9078,465.0
106460,Kungsberget D,16.4651,60.7645,152.0
96320,Kungsör,16.0993,59.416,18.0
97720,Kurön,17.4972,59.325,10.0
150530,Kusmark D,20.8284,64.8836,57.718
173760,Kypasjärvi D,23.2263,66.192,80.232
156020,Kyrkberg,16.7666,65.2666,360.0
74500,Kyrkonäs,14.7188,57.8222,285.0
145150,Kyrktåsjö D,15.8454,64.2454,272.209
71710,Kyvik,11.9666,57.55,20.0
126580,Kälarne,16.1075,62.9628,305.0
74560,Källebäcken,14.1006,57.9623,149.601
193730,Kätkesuando,23.3283,68.1202,250.0
104510,Kättbo,14.1912,60.846,290.0
73200,Kävsjö D,13.9237,57.322,169.081
150500,Kåge,20.9406,64.8386,10.0
73720,Kållared,13.0666,57.8833,260.0
72360,Kållered D,12.0649,57.6095,28.338
115590,Kårböle,15.3235,61.9812,220.0
125240,Kölsillre,15.1709,62.3957,259.84
115570,Laforsen,15.5013,61.9445,200.0
127350,Lagfors,17.2072,62.6611,100.0
62300,Laholm D,12.9339,56.4936,11.665
155930,Laisaliden,15.1666,65.7666,640.0
52520,Landskrona D,12.85,55.8666,2.08
72410,Landvetter,12.2277,57.6874,60.0
172890,Lansjärv,22.1935,66.6575,90.0
173020,Lappträsk,23.512,66.0323,51.0
147390,Latikberg D,17.0833,64.6425,440.893
159900,Lauker,19.8259,65.6453,360.0
134470,Laxviken,14.6784,63.7901,315.0
84550,Laxå,14.6389,58.9833,105.0
148270,Ledningsmark,18.1333,64.45,410.0
144560,Leipikvattnet,14.1563,64.929,481.296
94150,Lekeberga,14.8769,59.2317,90.0
106110,Leknäs,16.5756,60.1917,71.0
102110,Lekvattnet D,12.7707,60.1332,205.0
65590,Lenhovda,15.2933,56.9893,265.0
105090,Lernbo,15.3166,60.15,115.0
94590,Lesjöfors D,14.1744,59.9812,255.125
102440,Letafors D,12.6961,60.7393,337.7
96250,Lida D,16.0124,59.3655,52.889
126390,Liden D,16.888,62.6553,75.0
145180,Lidsjöberg,15.221,64.3013,300.0
173780,Liehittäjä,23.4184,66.2668,135.0
63090,Lierna,13.2375,56.0264,160.0
146360,Lillgård,16.9333,64.4667,360.0
114390,Lillhamra D,14.7958,61.6428,424.0
73320,Limmared,13.3433,57.5415,170.0
93420,Lindfors,13.8366,59.6083,140.0
72710,Lindome,12.1,57.5833,10.0
72180,Linhult D,12.6845,57.2944,172.852
65390,Linneryd,15.1381,56.6592,140.0
96420,Lisjö,16.0615,59.7017,60.0
103310,Lisskogsåsen,13.4433,60.5007,445.0
134170,Litsnäset,14.7206,63.3097,256.0
78190,Ljugarn D,18.7132,57.3566,2.53
63100,Ljungaskog,13.2417,56.275,66.0
122510,Ljungdalen,12.807,62.8543,615.0
106090,Ljusbäck,16.8595,60.155,60.0
126120,Ljusdals-Valsjön,16.0364,62.195,299.84
117130,Ljusne Strömmar,17.0852,61.2116,10.0
115320,Lobonäs D,15.3416,61.5327,221.0
76540,Loftahammar,16.6962,57.9038,3.0
115450,Los D,15.1729,61.7206,398.0
62150,Louisefred,12.5741,56.2421,14.28
78440,Lummelunda,18.4347,57.7409,50.0
94300,Lundsberg,14.1635,59.4996,120.0
134310,Lundsjön,14.5232,63.5189,414.192
108650,Lundås,18.5797,60.0329,15.0
136720,Lungsjöbacken,16.2666,63.4666,320.0
168010,Luvos,18.8626,66.6322,420.0
65120,Lyckeby,15.7106,56.214,26.481
53350,Lyngby,13.3666,55.5833,50.0
64370,Länshult,14.0665,56.6083,160.0
134270,Långan D,14.4833,63.4547,296.574
63350,Långhult,13.4582,56.585,175.0
124050,Långströmmen,15.0,62.1166,280.0
159760,Långträsk D,19.2447,65.1941,306.229
102720,Lönnhöjden,12.8333,60.0166,320.0
64660,Lönsboda,14.3305,56.4,135.0
112020,Löten D,12.8365,61.0258,433.163
76080,Löttorp D,16.9472,57.1553,6.489
135580,Lövberga D,15.8437,63.9673,281.703
53400,Lövestad,13.8916,55.6429,76.564
113210,Lövnäs,13.3578,61.3445,445.0
134450,Lövsjön,14.7166,63.75,310.0
107250,Lövsta,17.884,60.4086,25.0
106420,Lövåker,16.3513,60.684,150.0
63300,Majenfors,13.4549,56.4968,80.0
149230,Malkälen D,19.6867,64.3909,240.17
122370,Malmagen,12.1836,62.5963,804.0
103620,Malmbacka,13.9804,60.0163,383.0
74360,Malmbäck D,14.5196,57.5983,331.756
96150,Malmköping,16.7306,59.1306,55.0
103110,Malta,13.725,60.0778,185.0
103400,Malungsfors,13.5368,60.7238,323.233
134070,Marby D,14.2926,63.1205,328.15
63410,Marbäck D,13.0329,56.7045,54.854
83290,Mariedal,13.4,58.4833,100.0
62090,Mariedal,12.7112,56.1443,10.0
105650,Marielund,15.0469,60.6162,170.0
99610,Marö,19.0631,59.6996,3.0
122270,Medskogen,12.9673,62.443,655.0
132320,Medstugan,12.4008,63.5255,547.717
138260,Mellansel,18.35,63.4333,60.0
181720,Mettä-Dokkas,21.2885,67.0676,270.0
105270,Milsbo D,15.6284,60.4471,130.0
102050,Mitandersfors D,12.5198,60.0854,220.0
65270,Mjuamåla,15.3205,56.4405,130.0
73110,Mjöhult,13.1854,57.1858,155.0
62170,Mjöhult,12.6819,56.1764,12.0
85710,Mjölby,15.15,58.3333,115.0
164730,Mjölkbäcken,14.8465,66.102,535.608
133510,Mjölkvattnet,13.3797,63.85,545.0
81650,Mo,11.55,58.7,60.0
74000,Moheda D,14.5683,57.0063,160.0
72530,Mollsjönäs D,12.1373,57.8634,94.68
96690,Morgongåva,16.9634,59.933,65.0
172720,Morjärv,22.751,66.0728,40.0
62620,Morups Tånge,12.3641,56.9332,5.0
181810,Moskojärvi,21.0787,67.3746,395.0
159950,Moskosel,19.4407,65.8778,332.685
103610,Mossfallet,13.9166,60.0166,270.0
94090,Mullhyttan,14.6833,59.15,90.0
137090,Multrå D,17.4195,63.1681,65.619
93500,Munkfors,13.5415,59.8482,80.0
96300,Munktorp D,16.2093,59.5238,27.0
137350,Myckelgensjö,17.5861,63.5762,207.357
74720,Mykinge,14.3166,57.9,230.0
92500,Myre,12.4416,59.7877,109.005
122200,Myskelåsen-Tännäs,12.6805,62.4379,597.81
125510,Mälgåsen D,15.3293,62.8514,306.507
113050,Mångsbodarna,13.6163,61.0792,435.678
72610,Mårdaklev,12.9806,57.2666,130.0
150280,Mårtensboda D,20.9446,64.4489,80.0
106050,Möklinta,16.5477,60.0849,70.0
